stage,stage_name,klass,feature,coef
3,表現型,孤立血尿,L_PLT,-0.39170657638066403
3,表現型,孤立血尿,S_Cr,0.20189841555485624
3,表現型,孤立血尿,S_BUN,0.185560154278638
3,表現型,孤立血尿,S_UPCR,0.014467273279860877
3,表現型,孤立血尿,S_uRBC,0.030386806605760507
3,表現型,孤立血尿,S_uWBC,0.03219911616809105
3,表現型,孤立血尿,S_NLR,0.08241112360238229
3,表現型,孤立血尿,S_CRP,0.02213247881826691
3,表現型,孤立血尿,S_SBP,0.04954999062059568
3,表現型,孤立血尿,S_alb,-0.29887524865190973
3,表現型,孤立血尿,S_eos,-0.020557041793826957
3,表現型,孤立血尿,S_PLT,0.01958175983081523
3,表現型,孤立血尿,R_Cr_UPCR,0.09090618945850257
3,表現型,孤立血尿,R_UPCR_alb,0.027128859744765536
3,表現型,孤立血尿,R_UPCR_uRBC,-0.37931826460871343
3,表現型,孤立血尿,R_BUN_Cr,0.09776364899031924
3,表現型,孤立血尿,R_CRP_alb,0.2811764143159662
3,表現型,慢性,L_Cr,0.807427128825182
3,表現型,慢性,L_BUN,1.1034344998730572
3,表現型,慢性,L_UPCR,-0.3478364203798295
3,表現型,慢性,L_uRBC,-1.099738933122729
3,表現型,慢性,L_uWBC,0.154824298509554
3,表現型,慢性,L_NLR,-0.3614220935351185
3,表現型,慢性,L_CRP,-0.1667443569774126
3,表現型,慢性,L_SBP,0.04783643608055745
3,表現型,慢性,L_alb,0.43719675299031197
3,表現型,慢性,L_eos,0.09029198761968248
3,表現型,慢性,L_PLT,0.21842258555238453
3,表現型,慢性,S_Cr,-0.21825859469884315
3,表現型,慢性,S_BUN,-0.152061765792332
3,表現型,慢性,S_UPCR,0.018535553810804763
3,表現型,慢性,S_uRBC,-0.010838423335632593
3,表現型,慢性,S_uWBC,0.07720783201267946
3,表現型,慢性,S_NLR,-0.0851691783526696
3,表現型,慢性,S_CRP,-0.030446626587680013
3,表現型,慢性,S_SBP,0.10596052347871636
3,表現型,慢性,S_alb,0.23409693332253298
3,表現型,慢性,S_eos,-0.011557445416718057
3,表現型,慢性,S_PLT,0.22906382303133332
3,表現型,慢性,R_Cr_UPCR,0.18092900050222163
3,表現型,慢性,R_UPCR_alb,-0.22904160145365632
3,表現型,慢性,R_UPCR_uRBC,0.5126751087666059
3,表現型,慢性,R_BUN_Cr,-0.026504740862210215
3,表現型,慢性,R_CRP_alb,-0.16174873655486685
3,表現型,腎炎症候群,L_Cr,0.4179314846258972
3,表現型,腎炎症候群,L_BUN,-0.04373765600000181
3,表現型,腎炎症候群,L_UPCR,-0.09595669560216888
3,表現型,腎炎症候群,L_uRBC,1.3406412963190126
3,表現型,腎炎症候群,L_uWBC,0.24550767879490493
3,表現型,腎炎症候群,L_NLR,0.3516367885259949
3,表現型,腎炎症候群,L_CRP,0.948692417861852
3,表現型,腎炎症候群,L_SBP,0.12881247354550654
3,表現型,腎炎症候群,L_alb,0.12147244592538968
